Caminata,Posicion Final,Distancia,Tiempo
0,[2 4],4.47213595499958,0.00010991096496582031
1,[0 0],0.0,0.0001709461212158203
2,[ 2 -6],6.324555320336759,5.8650970458984375e-05
3,[-2  2],2.8284271247461903,5.364418029785156e-05
4,[ 0 -2],2.0,5.340576171875e-05
5,[-4 -2],4.47213595499958,9.226799011230469e-05
6,[0 4],4.0,5.602836608886719e-05
7,[-4 -2],4.47213595499958,5.269050598144531e-05
8,[ 0 -4],4.0,5.14984130859375e-05
9,[-6  2],6.324555320336759,0.00013756752014160156
